************* START OF RANDOM TEST FOR council room card *************

Test#0: Expected 18 deckCount, found 17 deckCount for input: handCount: 0, deckCount: 21, discardCount: 27, buys: 1
Test#40: Expected 44 deckCount, found 43 deckCount for input: handCount: 8, deckCount: 47, discardCount: 31, buys: 1
Test#41: Expected 5 deckCount, found 4 deckCount for input: handCount: 5, deckCount: 0, discardCount: 8, buys: 1
Test#42: Expected 17 deckCount, found 16 deckCount for input: handCount: 1, deckCount: 20, discardCount: 27, buys: 1
Test#43: Expected 25 deckCount, found 24 deckCount for input: handCount: 4, deckCount: 0, discardCount: 28, buys: 1
Test#44: Expected 10 deckCount, found 9 deckCount for input: handCount: 6, deckCount: 13, discardCount: 30, buys: 1
Test#45: Expected 159 deckCount, found 158 deckCount for input: handCount: 9, deckCount: 162, discardCount: 102, buys: 1
Test#46: Expected 465 deckCount, found 464 deckCount for input: handCount: 71, deckCount: 468, discardCount: 16, buys: 1
Test#47: Expected 27 deckCount, found 26 deckCount for input: handCount: 74, deckCount: 30, discardCount: 4, buys: 1
Test#48: Expected 44 deckCount, found 43 deckCount for input: handCount: 77, deckCount: 47, discardCount: 39, buys: 1
Test#49: Expected 24 deckCount, found 23 deckCount for input: handCount: 80, deckCount: 27, discardCount: 29, buys: 1
Test#50: Expected 5 deckCount, found 4 deckCount for input: handCount: 3, deckCount: 8, discardCount: 34, buys: 1
Test#51: Expected 35 deckCount, found 34 deckCount for input: handCount: 447, deckCount: 38, discardCount: 27, buys: 1
Test#52: Expected 11 deckCount, found 10 deckCount for input: handCount: 10, deckCount: 14, discardCount: 28, buys: 1
Test#53: Expected 12 deckCount, found 11 deckCount for input: handCount: 13, deckCount: 15, discardCount: 29, buys: 1
Test#54: Expected 430 deckCount, found 429 deckCount for input: handCount: 16, deckCount: 433, discardCount: 54, buys: 1
Test#55: Expected 334 deckCount, found 333 deckCount for input: handCount: 7, deckCount: 337, discardCount: 127, buys: 1
Test#56: Expected 145 deckCount, found 144 deckCount for input: handCount: 6, deckCount: 148, discardCount: 318, buys: 1
Test#57: Expected 355 deckCount, found 354 deckCount for input: handCount: 9, deckCount: 358, discardCount: 114, buys: 1
Test#58: Expected 40 deckCount, found 39 deckCount for input: handCount: 5, deckCount: 43, discardCount: 22, buys: 1
Test#59: Expected 41 deckCount, found 40 deckCount for input: handCount: 5, deckCount: 0, discardCount: 44, buys: 1
Test#60: Expected 15 deckCount, found 14 deckCount for input: handCount: 8, deckCount: 18, discardCount: 38, buys: 1
Test#61: Expected 5 deckCount, found 4 deckCount for input: handCount: 407, deckCount: 8, discardCount: 3, buys: 1
Test#62: Expected 410 deckCount, found 409 deckCount for input: handCount: 10, deckCount: 413, discardCount: 53, buys: 1
Test#63: Expected 108 deckCount, found 107 deckCount for input: handCount: 10, deckCount: 111, discardCount: 214, buys: 1
Test#64: Expected 29 deckCount, found 28 deckCount for input: handCount: 13, deckCount: 32, discardCount: 44, buys: 1
Test#65: Expected 104 deckCount, found 103 deckCount for input: handCount: 459, deckCount: 107, discardCount: 51, buys: 1
Test#66: Expected 333 deckCount, found 332 deckCount for input: handCount: 462, deckCount: 336, discardCount: 20, buys: 1
Test#67: Expected 7 deckCount, found 6 deckCount for input: handCount: 465, deckCount: 10, discardCount: 32, buys: 1
Test#68: Expected 44 deckCount, found 43 deckCount for input: handCount: 468, deckCount: 47, discardCount: 29, buys: 1
Test#69: Expected 174 deckCount, found 173 deckCount for input: handCount: 6, deckCount: 177, discardCount: 244, buys: 1
Test#70: Expected 24 deckCount, found 23 deckCount for input: handCount: 10, deckCount: 27, discardCount: 6, buys: 1
Test#71: Expected 14 deckCount, found 13 deckCount for input: handCount: 492, deckCount: 17, discardCount: 35, buys: 1
Test#72: Expected 433 deckCount, found 432 deckCount for input: handCount: 495, deckCount: 436, discardCount: 53, buys: 1
Test#73: Expected 26 deckCount, found 25 deckCount for input: handCount: 70, deckCount: 29, discardCount: 27, buys: 1
Test#74: Expected 333 deckCount, found 332 deckCount for input: handCount: 73, deckCount: 336, discardCount: 34, buys: 1
Test#75: Expected 468 deckCount, found 467 deckCount for input: handCount: 5, deckCount: 471, discardCount: 11, buys: 1
Test#76: Expected 19 deckCount, found 18 deckCount for input: handCount: 8, deckCount: 22, discardCount: 45, buys: 1
Test#77: Expected 1 deckCount, found 0 deckCount for input: handCount: 1, deckCount: 2, discardCount: 2, buys: 1
Test#78: Expected 31 deckCount, found 30 deckCount for input: handCount: 4, deckCount: 34, discardCount: 47, buys: 1
Test#79: Expected 10 deckCount, found 9 deckCount for input: handCount: 8, deckCount: 13, discardCount: 10, buys: 1
Test#80: Expected 30 deckCount, found 29 deckCount for input: handCount: 130, deckCount: 33, discardCount: 22, buys: 1
Test#81: Expected 218 deckCount, found 217 deckCount for input: handCount: 3, deckCount: 221, discardCount: 233, buys: 1
Test#82: Expected 221 deckCount, found 220 deckCount for input: handCount: 7, deckCount: 224, discardCount: 81, buys: 1
Test#83: Expected 154 deckCount, found 153 deckCount for input: handCount: 475, deckCount: 157, discardCount: 288, buys: 1
Test#84: Expected 41 deckCount, found 40 deckCount for input: handCount: 379, deckCount: 44, discardCount: 18, buys: 1
Test#85: Expected 35 deckCount, found 34 deckCount for input: handCount: 435, deckCount: 38, discardCount: 10, buys: 1
Test#86: Expected 38 deckCount, found 37 deckCount for input: handCount: 1, deckCount: 41, discardCount: 13, buys: 1
Test#87: Expected 8 deckCount, found 7 deckCount for input: handCount: 2, deckCount: 11, discardCount: 6, buys: 1
Test#88: Expected 34 deckCount, found 33 deckCount for input: handCount: 465, deckCount: 37, discardCount: 13, buys: 1
Test#89: Expected 22 deckCount, found 21 deckCount for input: handCount: 468, deckCount: 25, discardCount: 2, buys: 1
Test#90: Expected 1 deckCount, found 0 deckCount for input: handCount: 199, deckCount: 4, discardCount: 0, buys: 1
Test#91: Expected 34 deckCount, found 33 deckCount for input: handCount: 4, deckCount: 37, discardCount: 36, buys: 1
Test#92: Expected 45 deckCount, found 44 deckCount for input: handCount: 8, deckCount: 48, discardCount: 91, buys: 1
Test#93: Expected 17 deckCount, found 16 deckCount for input: handCount: 11, deckCount: 20, discardCount: 46, buys: 1
Test#94: Expected 5 deckCount, found 4 deckCount for input: handCount: 14, deckCount: 8, discardCount: 1, buys: 1
Test#95: Expected 178 deckCount, found 177 deckCount for input: handCount: 6, deckCount: 181, discardCount: 97, buys: 1
Test#96: Expected 33 deckCount, found 32 deckCount for input: handCount: 9, deckCount: 36, discardCount: 0, buys: 1
Test#97: Expected 13 deckCount, found 12 deckCount for input: handCount: 43, deckCount: 16, discardCount: 5, buys: 1
Test#98: Expected 7 deckCount, found 6 deckCount for input: handCount: 46, deckCount: 10, discardCount: 46, buys: 1
Test#99: Expected 293 deckCount, found 292 deckCount for input: handCount: 49, deckCount: 296, discardCount: 162, buys: 1
Test#100: Expected 164 deckCount, found 163 deckCount for input: handCount: 7, deckCount: 167, discardCount: 50, buys: 1
Test#101: Expected 5 deckCount, found 4 deckCount for input: handCount: 9, deckCount: 8, discardCount: 25, buys: 1
Test#102: Expected 18 deckCount, found 17 deckCount for input: handCount: 9, deckCount: 21, discardCount: 31, buys: 1
Test#103: Expected 35 deckCount, found 34 deckCount for input: handCount: 12, deckCount: 38, discardCount: 44, buys: 1
Test#104: Expected 31 deckCount, found 30 deckCount for input: handCount: 15, deckCount: 34, discardCount: 23, buys: 1
Test#105: Expected 36 deckCount, found 35 deckCount for input: handCount: 18, deckCount: 39, discardCount: 336, buys: 1
Test#106: Expected 2 deckCount, found 1 deckCount for input: handCount: 4, deckCount: 5, discardCount: 12, buys: 1
Test#107: Expected 3 deckCount, found 2 deckCount for input: handCount: 7, deckCount: 6, discardCount: 47, buys: 1
Test#108: Expected 485 deckCount, found 484 deckCount for input: handCount: 10, deckCount: 488, discardCount: 1, buys: 1
Test#109: Expected 46 deckCount, found 45 deckCount for input: handCount: 13, deckCount: 49, discardCount: 17, buys: 1
Test#110: Expected 3 deckCount, found 2 deckCount for input: handCount: 16, deckCount: 6, discardCount: 31, buys: 1
Test#111: Expected 5 deckCount, found 4 deckCount for input: handCount: 9, deckCount: 8, discardCount: 2, buys: 1
Test#112: Expected 26 deckCount, found 25 deckCount for input: handCount: 390, deckCount: 29, discardCount: 13, buys: 1
Test#113: Expected 2 deckCount, found 1 deckCount for input: handCount: 393, deckCount: 5, discardCount: 38, buys: 1
Test#114: Expected 3 deckCount, found 2 deckCount for input: handCount: 442, deckCount: 6, discardCount: 35, buys: 1
Test#115: Expected 122 deckCount, found 121 deckCount for input: handCount: 445, deckCount: 125, discardCount: 204, buys: 1
Test#116: Expected 39 deckCount, found 38 deckCount for input: handCount: 107, deckCount: 42, discardCount: 30, buys: 1
Test#117: Expected 443 deckCount, found 442 deckCount for input: handCount: 110, deckCount: 446, discardCount: 30, buys: 1
Test#118: Expected 46 deckCount, found 45 deckCount for input: handCount: 113, deckCount: 49, discardCount: 35, buys: 1
Test#119: Expected 9 deckCount, found 8 deckCount for input: handCount: 116, deckCount: 12, discardCount: 24, buys: 1
Test#120: Expected 37 deckCount, found 36 deckCount for input: handCount: 51, deckCount: 40, discardCount: 38, buys: 1
Test#121: Expected 4 deckCount, found 3 deckCount for input: handCount: 2, deckCount: 7, discardCount: 2, buys: 1
Test#122: Expected 409 deckCount, found 408 deckCount for input: handCount: 5, deckCount: 412, discardCount: 28, buys: 1
Test#123: Expected 73 deckCount, found 72 deckCount for input: handCount: 3, deckCount: 76, discardCount: 262, buys: 1
Test#124: Expected 45 deckCount, found 44 deckCount for input: handCount: 10, deckCount: 48, discardCount: 7, buys: 1
Test#125: Expected 18 deckCount, found 17 deckCount for input: handCount: 10, deckCount: 21, discardCount: 21, buys: 1
Test#126: Expected 30 deckCount, found 29 deckCount for input: handCount: 13, deckCount: 33, discardCount: 12, buys: 1
Test#127: Expected 66 deckCount, found 65 deckCount for input: handCount: 16, deckCount: 69, discardCount: 23, buys: 1
Test#128: Expected 14 deckCount, found 13 deckCount for input: handCount: 19, deckCount: 17, discardCount: 25, buys: 1
Test#129: Expected 32 deckCount, found 31 deckCount for input: handCount: 22, deckCount: 35, discardCount: 149, buys: 1
Test#130: Expected 29 deckCount, found 28 deckCount for input: handCount: 2, deckCount: 32, discardCount: 16, buys: 1
Test#131: Expected 24 deckCount, found 23 deckCount for input: handCount: 6, deckCount: 27, discardCount: 4, buys: 1
Test#132: Expected 7 deckCount, found 6 deckCount for input: handCount: 57, deckCount: 10, discardCount: 41, buys: 1
Test#133: Expected 47 deckCount, found 46 deckCount for input: handCount: 60, deckCount: 50, discardCount: 259, buys: 1
Test#134: Expected 18 deckCount, found 17 deckCount for input: handCount: 60, deckCount: 21, discardCount: 41, buys: 1
Test#135: Expected 339 deckCount, found 338 deckCount for input: handCount: 9, deckCount: 342, discardCount: 46, buys: 1
Test#136: Expected 11 deckCount, found 10 deckCount for input: handCount: 156, deckCount: 14, discardCount: 41, buys: 1
Test#137: Expected 44 deckCount, found 43 deckCount for input: handCount: 72, deckCount: 47, discardCount: 113, buys: 1
Test#138: Expected 20 deckCount, found 19 deckCount for input: handCount: 3, deckCount: 23, discardCount: 425, buys: 1
Test#139: Expected 371 deckCount, found 370 deckCount for input: handCount: 6, deckCount: 374, discardCount: 90, buys: 1
Test#140: Expected 35 deckCount, found 34 deckCount for input: handCount: 9, deckCount: 38, discardCount: 33, buys: 1
Test#141: Expected 39 deckCount, found 38 deckCount for input: handCount: 12, deckCount: 42, discardCount: 14, buys: 1
Test#142: Expected 34 deckCount, found 33 deckCount for input: handCount: 15, deckCount: 37, discardCount: 3, buys: 1
Test#143: Expected 28 deckCount, found 27 deckCount for input: handCount: 18, deckCount: 31, discardCount: 3, buys: 1
Test#144: Expected 1 deckCount, found 0 deckCount for input: handCount: 21, deckCount: 4, discardCount: 6, buys: 1
Test#145: Expected 28 deckCount, found 27 deckCount for input: handCount: 24, deckCount: 31, discardCount: 47, buys: 1
Test#146: Expected 10 deckCount, found 9 deckCount for input: handCount: 7, deckCount: 13, discardCount: 10, buys: 1
Test#147: Expected 43 deckCount, found 42 deckCount for input: handCount: 10, deckCount: 3, discardCount: 43, buys: 1
Test#148: Expected 42 deckCount, found 41 deckCount for input: handCount: 10, deckCount: 45, discardCount: 35, buys: 1
Test#149: Expected 6 deckCount, found 5 deckCount for input: handCount: 6, deckCount: 9, discardCount: 44, buys: 1
Test#150: Expected 3 deckCount, found 2 deckCount for input: handCount: 238, deckCount: 6, discardCount: 435, buys: 1
Test#151: Expected 25 deckCount, found 24 deckCount for input: handCount: 8, deckCount: 28, discardCount: 0, buys: 1
Test#152: Expected 208 deckCount, found 207 deckCount for input: handCount: 356, deckCount: 211, discardCount: 40, buys: 1
Test#153: Expected 25 deckCount, found 24 deckCount for input: handCount: 9, deckCount: 1, discardCount: 27, buys: 1
Test#154: Expected 274 deckCount, found 273 deckCount for input: handCount: 12, deckCount: 277, discardCount: 178, buys: 1
Test#155: Expected 7 deckCount, found 6 deckCount for input: handCount: 15, deckCount: 10, discardCount: 8, buys: 1
Test#156: Expected 325 deckCount, found 324 deckCount for input: handCount: 243, deckCount: 328, discardCount: 122, buys: 1
Test#157: Expected 446 deckCount, found 445 deckCount for input: handCount: 246, deckCount: 449, discardCount: 7, buys: 1
Test#158: Expected 29 deckCount, found 28 deckCount for input: handCount: 249, deckCount: 32, discardCount: 43, buys: 1
Test#159: Expected 22 deckCount, found 21 deckCount for input: handCount: 205, deckCount: 25, discardCount: 18, buys: 1
Test#160: Expected 1 deckCount, found 0 deckCount for input: handCount: 208, deckCount: 2, discardCount: 2, buys: 1
Test#161: Expected 23 deckCount, found 22 deckCount for input: handCount: 211, deckCount: 26, discardCount: 26, buys: 1
Test#162: Expected 31 deckCount, found 30 deckCount for input: handCount: 214, deckCount: 34, discardCount: 4, buys: 1
Test#163: Expected 12 deckCount, found 11 deckCount for input: handCount: 217, deckCount: 15, discardCount: 37, buys: 1
Test#164: Expected 399 deckCount, found 398 deckCount for input: handCount: 164, deckCount: 402, discardCount: 3, buys: 1
Test#165: Expected 40 deckCount, found 39 deckCount for input: handCount: 167, deckCount: 43, discardCount: 24, buys: 1
Test#166: Expected 42 deckCount, found 41 deckCount for input: handCount: 397, deckCount: 45, discardCount: 46, buys: 1
Test#167: Expected 22 deckCount, found 21 deckCount for input: handCount: 400, deckCount: 25, discardCount: 44, buys: 1
Test#168: Expected 17 deckCount, found 16 deckCount for input: handCount: 403, deckCount: 20, discardCount: 17, buys: 1
Test#169: Expected 9 deckCount, found 8 deckCount for input: handCount: 406, deckCount: 12, discardCount: 4, buys: 1
Test#170: Expected 45 deckCount, found 44 deckCount for input: handCount: 409, deckCount: 48, discardCount: 47, buys: 1
Test#171: Expected 2 deckCount, found 1 deckCount for input: handCount: 4, deckCount: 5, discardCount: 43, buys: 1
Test#172: Expected 40 deckCount, found 39 deckCount for input: handCount: 7, deckCount: 43, discardCount: 35, buys: 1
Test#173: Expected 2 deckCount, found 1 deckCount for input: handCount: 10, deckCount: 5, discardCount: 44, buys: 1
Test#174: Expected 37 deckCount, found 36 deckCount for input: handCount: 8, deckCount: 40, discardCount: 3, buys: 1
Test#175: Expected 5 deckCount, found 4 deckCount for input: handCount: 422, deckCount: 8, discardCount: 46, buys: 1
Test#176: Expected 34 deckCount, found 33 deckCount for input: handCount: 2, deckCount: 37, discardCount: 23, buys: 1
Test#177: Expected 115 deckCount, found 114 deckCount for input: handCount: 6, deckCount: 118, discardCount: 146, buys: 1
Test#178: Expected 13 deckCount, found 12 deckCount for input: handCount: 5, deckCount: 16, discardCount: 12, buys: 1
Test#179: Expected 32 deckCount, found 31 deckCount for input: handCount: 8, deckCount: 35, discardCount: 0, buys: 1
Test#180: Expected 2 deckCount, found 1 deckCount for input: handCount: 265, deckCount: 5, discardCount: 28, buys: 1
Test#181: Expected 17 deckCount, found 16 deckCount for input: handCount: 3, deckCount: 1, discardCount: 19, buys: 1
Test#182: Expected 104 deckCount, found 103 deckCount for input: handCount: 9, deckCount: 107, discardCount: 165, buys: 1
Test#183: Expected 25 deckCount, found 24 deckCount for input: handCount: 4, deckCount: 28, discardCount: 9, buys: 1
Test#184: Expected 40 deckCount, found 39 deckCount for input: handCount: 7, deckCount: 43, discardCount: 43, buys: 1
Test#185: Expected 254 deckCount, found 253 deckCount for input: handCount: 10, deckCount: 257, discardCount: 117, buys: 1
Test#186: Expected 16 deckCount, found 15 deckCount for input: handCount: 13, deckCount: 19, discardCount: 5, buys: 1
Test#187: Expected 54 deckCount, found 53 deckCount for input: handCount: 10, deckCount: 57, discardCount: 122, buys: 1
Test#188: Expected 41 deckCount, found 40 deckCount for input: handCount: 8, deckCount: 44, discardCount: 32, buys: 1
Test#189: Expected 35 deckCount, found 34 deckCount for input: handCount: 6, deckCount: 38, discardCount: 0, buys: 1
Test#190: Expected 7 deckCount, found 6 deckCount for input: handCount: 3, deckCount: 10, discardCount: 37, buys: 1
Test#191: Expected 389 deckCount, found 388 deckCount for input: handCount: 6, deckCount: 392, discardCount: 10, buys: 1
Test#192: Expected 77 deckCount, found 76 deckCount for input: handCount: 253, deckCount: 80, discardCount: 32, buys: 1
Test#193: Expected 17 deckCount, found 16 deckCount for input: handCount: 256, deckCount: 20, discardCount: 14, buys: 1
Test#194: Expected 18 deckCount, found 17 deckCount for input: handCount: 10, deckCount: 21, discardCount: 25, buys: 1
Test#195: Expected 11 deckCount, found 10 deckCount for input: handCount: 78, deckCount: 14, discardCount: 38, buys: 1
Test#196: Expected 33 deckCount, found 32 deckCount for input: handCount: 10, deckCount: 36, discardCount: 14, buys: 1
Test#197: Expected 39 deckCount, found 38 deckCount for input: handCount: 10, deckCount: 0, discardCount: 42, buys: 1
Test#198: Expected 10 deckCount, found 9 deckCount for input: handCount: 10, deckCount: 13, discardCount: 13, buys: 1
Test#199: Expected 168 deckCount, found 167 deckCount for input: handCount: 13, deckCount: 171, discardCount: 227, buys: 1
Test#200: Expected 2 deckCount, found 1 deckCount for input: handCount: 352, deckCount: 5, discardCount: 15, buys: 1
Test#201: Expected 43 deckCount, found 42 deckCount for input: handCount: 355, deckCount: 46, discardCount: 27, buys: 1
Test#202: Expected 39 deckCount, found 38 deckCount for input: handCount: 358, deckCount: 42, discardCount: 25, buys: 1
Test#203: Expected 3 deckCount, found 2 deckCount for input: handCount: 6, deckCount: 6, discardCount: 25, buys: 1
Test#204: Expected 26 deckCount, found 25 deckCount for input: handCount: 8, deckCount: 29, discardCount: 2, buys: 1
Test#205: Expected 441 deckCount, found 440 deckCount for input: handCount: 11, deckCount: 444, discardCount: 32, buys: 1
Test#206: Expected 39 deckCount, found 38 deckCount for input: handCount: 14, deckCount: 42, discardCount: 2, buys: 1
Test#207: Expected 6 deckCount, found 5 deckCount for input: handCount: 17, deckCount: 9, discardCount: 25, buys: 1
Test#208: Expected 18 deckCount, found 17 deckCount for input: handCount: 20, deckCount: 21, discardCount: 7, buys: 1
Test#209: Expected 19 deckCount, found 18 deckCount for input: handCount: 2, deckCount: 22, discardCount: 23, buys: 1
Test#210: Expected 9 deckCount, found 8 deckCount for input: handCount: 5, deckCount: 12, discardCount: 6, buys: 1
Test#211: Expected 44 deckCount, found 43 deckCount for input: handCount: 8, deckCount: 47, discardCount: 31, buys: 1
Test#212: Expected 5 deckCount, found 4 deckCount for input: handCount: 5, deckCount: 0, discardCount: 8, buys: 1
Test#213: Expected 17 deckCount, found 16 deckCount for input: handCount: 1, deckCount: 20, discardCount: 27, buys: 1
Test#214: Expected 25 deckCount, found 24 deckCount for input: handCount: 4, deckCount: 0, discardCount: 28, buys: 1
Test#215: Expected 10 deckCount, found 9 deckCount for input: handCount: 6, deckCount: 13, discardCount: 30, buys: 1
Test#216: Expected 159 deckCount, found 158 deckCount for input: handCount: 9, deckCount: 162, discardCount: 102, buys: 1
Test#217: Expected 465 deckCount, found 464 deckCount for input: handCount: 71, deckCount: 468, discardCount: 16, buys: 1
Test#218: Expected 27 deckCount, found 26 deckCount for input: handCount: 74, deckCount: 30, discardCount: 4, buys: 1
Test#219: Expected 44 deckCount, found 43 deckCount for input: handCount: 77, deckCount: 47, discardCount: 39, buys: 1
Test#220: Expected 24 deckCount, found 23 deckCount for input: handCount: 80, deckCount: 27, discardCount: 29, buys: 1
Test#221: Expected 5 deckCount, found 4 deckCount for input: handCount: 3, deckCount: 8, discardCount: 34, buys: 1
Test#222: Expected 35 deckCount, found 34 deckCount for input: handCount: 447, deckCount: 38, discardCount: 27, buys: 1
Test#223: Expected 11 deckCount, found 10 deckCount for input: handCount: 10, deckCount: 14, discardCount: 28, buys: 1
Test#224: Expected 12 deckCount, found 11 deckCount for input: handCount: 13, deckCount: 15, discardCount: 29, buys: 1
Test#225: Expected 430 deckCount, found 429 deckCount for input: handCount: 16, deckCount: 433, discardCount: 54, buys: 1
Test#226: Expected 334 deckCount, found 333 deckCount for input: handCount: 7, deckCount: 337, discardCount: 127, buys: 1
Test#227: Expected 145 deckCount, found 144 deckCount for input: handCount: 6, deckCount: 148, discardCount: 318, buys: 1
Test#228: Expected 355 deckCount, found 354 deckCount for input: handCount: 9, deckCount: 358, discardCount: 114, buys: 1
Test#229: Expected 40 deckCount, found 39 deckCount for input: handCount: 5, deckCount: 43, discardCount: 22, buys: 1
Test#230: Expected 41 deckCount, found 40 deckCount for input: handCount: 5, deckCount: 0, discardCount: 44, buys: 1
Test#231: Expected 15 deckCount, found 14 deckCount for input: handCount: 8, deckCount: 18, discardCount: 38, buys: 1
Test#232: Expected 5 deckCount, found 4 deckCount for input: handCount: 407, deckCount: 8, discardCount: 3, buys: 1
Test#233: Expected 410 deckCount, found 409 deckCount for input: handCount: 10, deckCount: 413, discardCount: 53, buys: 1
Test#234: Expected 108 deckCount, found 107 deckCount for input: handCount: 10, deckCount: 111, discardCount: 214, buys: 1
Test#235: Expected 29 deckCount, found 28 deckCount for input: handCount: 13, deckCount: 32, discardCount: 44, buys: 1
Test#236: Expected 104 deckCount, found 103 deckCount for input: handCount: 459, deckCount: 107, discardCount: 51, buys: 1
Test#237: Expected 333 deckCount, found 332 deckCount for input: handCount: 462, deckCount: 336, discardCount: 20, buys: 1
Test#238: Expected 7 deckCount, found 6 deckCount for input: handCount: 465, deckCount: 10, discardCount: 32, buys: 1
Test#239: Expected 44 deckCount, found 43 deckCount for input: handCount: 468, deckCount: 47, discardCount: 29, buys: 1
Test#240: Expected 174 deckCount, found 173 deckCount for input: handCount: 6, deckCount: 177, discardCount: 244, buys: 1
Test#241: Expected 24 deckCount, found 23 deckCount for input: handCount: 10, deckCount: 27, discardCount: 6, buys: 1
Test#242: Expected 14 deckCount, found 13 deckCount for input: handCount: 492, deckCount: 17, discardCount: 35, buys: 1
Test#243: Expected 433 deckCount, found 432 deckCount for input: handCount: 495, deckCount: 436, discardCount: 53, buys: 1
Test#244: Expected 26 deckCount, found 25 deckCount for input: handCount: 70, deckCount: 29, discardCount: 27, buys: 1
Test#245: Expected 333 deckCount, found 332 deckCount for input: handCount: 73, deckCount: 336, discardCount: 34, buys: 1
Test#246: Expected 468 deckCount, found 467 deckCount for input: handCount: 5, deckCount: 471, discardCount: 11, buys: 1
Test#247: Expected 19 deckCount, found 18 deckCount for input: handCount: 8, deckCount: 22, discardCount: 45, buys: 1
