************* START OF RANDOM TEST FOR smithy card *************

Test#0 Expected 6 handcount, found 5 handcount
Test#162 Expected 59 handcount, found 58 handcount
Test#163 Expected 462 handcount, found 461 handcount
Test#164 Expected 86 handcount, found 85 handcount
Test#165 Expected 12 handcount, found 11 handcount
Test#166 Expected 10 handcount, found 9 handcount
Test#167 Expected 9 handcount, found 8 handcount
Test#168 Expected 8 handcount, found 7 handcount
Test#169 Expected 269 handcount, found 268 handcount
Test#170 Expected 6 handcount, found 5 handcount
Test#171 Expected 6 handcount, found 5 handcount
Test#172 Expected 45 handcount, found 44 handcount
Test#173 Expected 289 handcount, found 288 handcount
Test#174 Expected 5 handcount, found 4 handcount
Test#175 Expected 346 handcount, found 345 handcount
Test#176 Expected 11 handcount, found 10 handcount
Test#177 Expected 8 handcount, found 7 handcount
Test#178 Expected 12 handcount, found 11 handcount
Test#179 Expected 10 handcount, found 9 handcount
Test#180 Expected 11 handcount, found 10 handcount
Test#181 Expected 12 handcount, found 11 handcount
Test#182 Expected 460 handcount, found 459 handcount
Test#183 Expected 9 handcount, found 8 handcount
Test#184 Expected 411 handcount, found 410 handcount
Test#185 Expected 8 handcount, found 7 handcount
Test#186 Expected 5 handcount, found 4 handcount
Test#187 Expected 266 handcount, found 265 handcount
Test#188 Expected 5 handcount, found 4 handcount
Test#189 Expected 8 handcount, found 7 handcount
Test#190 Expected 356 handcount, found 355 handcount
Test#191 Expected 3 handcount, found 2 handcount
Test#192 Expected 7 handcount, found 6 handcount
Test#193 Expected 172 handcount, found 171 handcount
Test#194 Expected 7 handcount, found 6 handcount
Test#195 Expected 439 handcount, found 438 handcount
Test#196 Expected 7 handcount, found 6 handcount
Test#197 Expected 3 handcount, found 2 handcount
Test#198 Expected 12 handcount, found 11 handcount
Test#199 Expected 323 handcount, found 322 handcount
Test#200 Expected 3 handcount, found 2 handcount
Test#201 Expected 72 handcount, found 71 handcount
Test#202 Expected 4 handcount, found 3 handcount
Test#203 Expected 6 handcount, found 5 handcount
Test#204 Expected 211 handcount, found 210 handcount
Test#205 Expected 164 handcount, found 163 handcount
Test#206 Expected 10 handcount, found 9 handcount
Test#207 Expected 4 handcount, found 3 handcount
Test#208 Expected 12 handcount, found 11 handcount
Test#209 Expected 4 handcount, found 3 handcount
Test#210 Expected 346 handcount, found 345 handcount
Test#211 Expected 8 handcount, found 7 handcount
Test#212 Expected 4 handcount, found 3 handcount
Test#213 Expected 341 handcount, found 340 handcount
Test#214 Expected 4 handcount, found 3 handcount
Test#215 Expected 9 handcount, found 8 handcount
Test#216 Expected 327 handcount, found 326 handcount
Test#217 Expected 10 handcount, found 9 handcount
Test#218 Expected 8 handcount, found 7 handcount
Test#219 Expected 7 handcount, found 6 handcount
Test#220 Expected 333 handcount, found 332 handcount
Test#221 Expected 10 handcount, found 9 handcount
Test#222 Expected 4 handcount, found 3 handcount
Test#223 Expected 163 handcount, found 162 handcount
Test#224 Expected 126 handcount, found 125 handcount
Test#225 Expected 326 handcount, found 325 handcount
Test#226 Expected 12 handcount, found 11 handcount
Test#227 Expected 9 handcount, found 8 handcount
Test#228 Expected 10 handcount, found 9 handcount
Test#229 Expected 11 handcount, found 10 handcount
Test#230 Expected 4 handcount, found 3 handcount
Test#231 Expected 4 handcount, found 3 handcount
Test#232 Expected 10 handcount, found 9 handcount
Test#233 Expected 8 handcount, found 7 handcount
Test#234 Expected 7 handcount, found 6 handcount
Test#235 Expected 333 handcount, found 332 handcount
Test#236 Expected 10 handcount, found 9 handcount
Test#237 Expected 4 handcount, found 3 handcount
Test#238 Expected 163 handcount, found 162 handcount
Test#239 Expected 126 handcount, found 125 handcount
Test#240 Expected 326 handcount, found 325 handcount
Test#241 Expected 12 handcount, found 11 handcount
Test#242 Expected 9 handcount, found 8 handcount
Test#243 Expected 10 handcount, found 9 handcount
Test#244 Expected 11 handcount, found 10 handcount
Test#245 Expected 4 handcount, found 3 handcount
Test#246 Expected 4 handcount, found 3 handcount
Test#247 Expected 10 handcount, found 9 handcount
Test#248 Expected 8 handcount, found 7 handcount
Test#249 Expected 7 handcount, found 6 handcount
Test#250 Expected 333 handcount, found 332 handcount
Test#251 Expected 10 handcount, found 9 handcount
Test#252 Expected 4 handcount, found 3 handcount
Test#253 Expected 163 handcount, found 162 handcount
Test#254 Expected 126 handcount, found 125 handcount
Test#255 Expected 326 handcount, found 325 handcount
Test#256 Expected 12 handcount, found 11 handcount
Test#257 Expected 9 handcount, found 8 handcount
Test#258 Expected 10 handcount, found 9 handcount
Test#259 Expected 11 handcount, found 10 handcount
Test#260 Expected 4 handcount, found 3 handcount
Test#261 Expected 4 handcount, found 3 handcount
Test#262 Expected 10 handcount, found 9 handcount
Test#263 Expected 8 handcount, found 7 handcount
Test#264 Expected 7 handcount, found 6 handcount
Test#265 Expected 333 handcount, found 332 handcount
Test#266 Expected 10 handcount, found 9 handcount
Test#267 Expected 4 handcount, found 3 handcount
Test#268 Expected 163 handcount, found 162 handcount
Test#269 Expected 126 handcount, found 125 handcount
Test#270 Expected 326 handcount, found 325 handcount
Test#271 Expected 12 handcount, found 11 handcount
Test#272 Expected 9 handcount, found 8 handcount
Test#273 Expected 10 handcount, found 9 handcount
Test#274 Expected 11 handcount, found 10 handcount
Test#275 Expected 4 handcount, found 3 handcount
Test#276 Expected 4 handcount, found 3 handcount
Test#277 Expected 10 handcount, found 9 handcount
Test#278 Expected 8 handcount, found 7 handcount
Test#279 Expected 7 handcount, found 6 handcount
Test#280 Expected 333 handcount, found 332 handcount
Test#281 Expected 10 handcount, found 9 handcount
Test#282 Expected 4 handcount, found 3 handcount
Test#283 Expected 163 handcount, found 162 handcount
Test#284 Expected 126 handcount, found 125 handcount
Test#285 Expected 326 handcount, found 325 handcount
Test#286 Expected 12 handcount, found 11 handcount
Test#287 Expected 9 handcount, found 8 handcount
Test#288 Expected 10 handcount, found 9 handcount
Test#289 Expected 11 handcount, found 10 handcount
Test#290 Expected 4 handcount, found 3 handcount
Test#291 Expected 4 handcount, found 3 handcount
Test#292 Expected 10 handcount, found 9 handcount
Test#293 Expected 8 handcount, found 7 handcount
Test#294 Expected 7 handcount, found 6 handcount
Test#295 Expected 333 handcount, found 332 handcount
Test#296 Expected 10 handcount, found 9 handcount
Test#297 Expected 4 handcount, found 3 handcount
Test#298 Expected 163 handcount, found 162 handcount
Test#299 Expected 126 handcount, found 125 handcount
Test#300 Expected 326 handcount, found 325 handcount
Test#301 Expected 12 handcount, found 11 handcount
Test#302 Expected 9 handcount, found 8 handcount
Test#303 Expected 10 handcount, found 9 handcount
Test#304 Expected 11 handcount, found 10 handcount
Test#305 Expected 4 handcount, found 3 handcount
Test#306 Expected 4 handcount, found 3 handcount
Test#307 Expected 10 handcount, found 9 handcount
Test#308 Expected 8 handcount, found 7 handcount
Test#309 Expected 7 handcount, found 6 handcount
Test#310 Expected 333 handcount, found 332 handcount
Test#311 Expected 10 handcount, found 9 handcount
Test#312 Expected 4 handcount, found 3 handcount
Test#313 Expected 163 handcount, found 162 handcount
Test#314 Expected 126 handcount, found 125 handcount
Test#315 Expected 326 handcount, found 325 handcount
Test#316 Expected 12 handcount, found 11 handcount
Test#317 Expected 9 handcount, found 8 handcount
Test#318 Expected 10 handcount, found 9 handcount
Test#319 Expected 11 handcount, found 10 handcount
Test#320 Expected 4 handcount, found 3 handcount
Test#321 Expected 4 handcount, found 3 handcount
Test#322 Expected 10 handcount, found 9 handcount
Test#323 Expected 8 handcount, found 7 handcount
Test#324 Expected 7 handcount, found 6 handcount
Test#325 Expected 333 handcount, found 332 handcount
Test#326 Expected 10 handcount, found 9 handcount
Test#327 Expected 4 handcount, found 3 handcount
Test#328 Expected 163 handcount, found 162 handcount
Test#329 Expected 126 handcount, found 125 handcount
Test#330 Expected 326 handcount, found 325 handcount
Test#331 Expected 12 handcount, found 11 handcount
Test#332 Expected 9 handcount, found 8 handcount
Test#333 Expected 10 handcount, found 9 handcount
Test#334 Expected 11 handcount, found 10 handcount
Test#335 Expected 4 handcount, found 3 handcount
Test#336 Expected 4 handcount, found 3 handcount
Test#337 Expected 10 handcount, found 9 handcount
Test#338 Expected 8 handcount, found 7 handcount
Test#339 Expected 7 handcount, found 6 handcount
Test#340 Expected 333 handcount, found 332 handcount
Test#341 Expected 10 handcount, found 9 handcount
Test#342 Expected 4 handcount, found 3 handcount
Test#343 Expected 163 handcount, found 162 handcount
Test#344 Expected 126 handcount, found 125 handcount
Test#345 Expected 326 handcount, found 325 handcount
Test#346 Expected 12 handcount, found 11 handcount
Test#347 Expected 9 handcount, found 8 handcount
Test#348 Expected 10 handcount, found 9 handcount
Test#349 Expected 11 handcount, found 10 handcount
Test#350 Expected 4 handcount, found 3 handcount
Test#351 Expected 4 handcount, found 3 handcount
Test#352 Expected 10 handcount, found 9 handcount
Test#353 Expected 8 handcount, found 7 handcount
Test#354 Expected 7 handcount, found 6 handcount
Test#355 Expected 333 handcount, found 332 handcount
Test#356 Expected 10 handcount, found 9 handcount
Test#357 Expected 4 handcount, found 3 handcount
Test#358 Expected 163 handcount, found 162 handcount
Test#359 Expected 126 handcount, found 125 handcount
Test#360 Expected 326 handcount, found 325 handcount
Test#361 Expected 12 handcount, found 11 handcount
Test#362 Expected 9 handcount, found 8 handcount
Test#363 Expected 10 handcount, found 9 handcount
Test#364 Expected 11 handcount, found 10 handcount
Test#365 Expected 4 handcount, found 3 handcount
Test#366 Expected 4 handcount, found 3 handcount
Test#367 Expected 10 handcount, found 9 handcount
Test#368 Expected 8 handcount, found 7 handcount
Test#369 Expected 7 handcount, found 6 handcount
Test#370 Expected 333 handcount, found 332 handcount
Test#371 Expected 10 handcount, found 9 handcount
Test#372 Expected 4 handcount, found 3 handcount
Test#373 Expected 163 handcount, found 162 handcount
Test#374 Expected 126 handcount, found 125 handcount
Test#375 Expected 326 handcount, found 325 handcount
Test#376 Expected 12 handcount, found 11 handcount
Test#377 Expected 9 handcount, found 8 handcount
Test#378 Expected 10 handcount, found 9 handcount
Test#379 Expected 11 handcount, found 10 handcount
Test#380 Expected 4 handcount, found 3 handcount
Test#381 Expected 4 handcount, found 3 handcount
Test#382 Expected 10 handcount, found 9 handcount
Test#383 Expected 8 handcount, found 7 handcount
Test#384 Expected 7 handcount, found 6 handcount
Test#385 Expected 333 handcount, found 332 handcount
Test#386 Expected 10 handcount, found 9 handcount
Test#387 Expected 4 handcount, found 3 handcount
Test#388 Expected 163 handcount, found 162 handcount
Test#389 Expected 126 handcount, found 125 handcount
Test#390 Expected 326 handcount, found 325 handcount
Test#391 Expected 12 handcount, found 11 handcount
Test#392 Expected 9 handcount, found 8 handcount
Test#393 Expected 10 handcount, found 9 handcount
Test#394 Expected 11 handcount, found 10 handcount
Test#395 Expected 4 handcount, found 3 handcount
Test#396 Expected 4 handcount, found 3 handcount
Test#397 Expected 10 handcount, found 9 handcount
Test#398 Expected 8 handcount, found 7 handcount
Test#399 Expected 7 handcount, found 6 handcount
Test#400 Expected 333 handcount, found 332 handcount
Test#401 Expected 10 handcount, found 9 handcount
Test#402 Expected 4 handcount, found 3 handcount
Test#403 Expected 163 handcount, found 162 handcount
Test#404 Expected 126 handcount, found 125 handcount
Test#405 Expected 326 handcount, found 325 handcount
Test#406 Expected 12 handcount, found 11 handcount
Test#407 Expected 9 handcount, found 8 handcount
Test#408 Expected 10 handcount, found 9 handcount
Test#409 Expected 11 handcount, found 10 handcount
Test#410 Expected 4 handcount, found 3 handcount
Test#411 Expected 4 handcount, found 3 handcount
Test#412 Expected 10 handcount, found 9 handcount
Test#413 Expected 8 handcount, found 7 handcount
Test#414 Expected 7 handcount, found 6 handcount
Test#415 Expected 333 handcount, found 332 handcount
Test#416 Expected 10 handcount, found 9 handcount
Test#417 Expected 4 handcount, found 3 handcount
Test#418 Expected 163 handcount, found 162 handcount
Test#419 Expected 126 handcount, found 125 handcount
Test#420 Expected 326 handcount, found 325 handcount
Test#421 Expected 12 handcount, found 11 handcount
Test#422 Expected 9 handcount, found 8 handcount
Test#423 Expected 10 handcount, found 9 handcount
Test#424 Expected 11 handcount, found 10 handcount
Test#425 Expected 4 handcount, found 3 handcount
Test#426 Expected 4 handcount, found 3 handcount
Test#427 Expected 10 handcount, found 9 handcount
Test#428 Expected 8 handcount, found 7 handcount
Test#429 Expected 7 handcount, found 6 handcount
Test#430 Expected 333 handcount, found 332 handcount
Test#431 Expected 10 handcount, found 9 handcount
Test#432 Expected 4 handcount, found 3 handcount
Test#433 Expected 163 handcount, found 162 handcount
Test#434 Expected 126 handcount, found 125 handcount
Test#435 Expected 326 handcount, found 325 handcount
Test#436 Expected 12 handcount, found 11 handcount
Test#437 Expected 9 handcount, found 8 handcount
Test#438 Expected 10 handcount, found 9 handcount
Test#439 Expected 11 handcount, found 10 handcount
Test#440 Expected 4 handcount, found 3 handcount
Test#441 Expected 4 handcount, found 3 handcount
Test#442 Expected 10 handcount, found 9 handcount
Test#443 Expected 8 handcount, found 7 handcount
Test#444 Expected 7 handcount, found 6 handcount
Test#445 Expected 333 handcount, found 332 handcount
Test#446 Expected 10 handcount, found 9 handcount
Test#447 Expected 4 handcount, found 3 handcount
Test#448 Expected 163 handcount, found 162 handcount
Test#449 Expected 126 handcount, found 125 handcount
Test#450 Expected 326 handcount, found 325 handcount
Test#451 Expected 12 handcount, found 11 handcount
Test#452 Expected 9 handcount, found 8 handcount
Test#453 Expected 10 handcount, found 9 handcount
Test#454 Expected 11 handcount, found 10 handcount
Test#455 Expected 4 handcount, found 3 handcount
Test#456 Expected 4 handcount, found 3 handcount
Test#457 Expected 10 handcount, found 9 handcount
Test#458 Expected 8 handcount, found 7 handcount
Test#459 Expected 7 handcount, found 6 handcount
Test#460 Expected 333 handcount, found 332 handcount
Test#461 Expected 10 handcount, found 9 handcount
Test#462 Expected 4 handcount, found 3 handcount
Test#463 Expected 163 handcount, found 162 handcount
Test#464 Expected 126 handcount, found 125 handcount
Test#465 Expected 326 handcount, found 325 handcount
Test#466 Expected 12 handcount, found 11 handcount
Test#467 Expected 9 handcount, found 8 handcount
Test#468 Expected 10 handcount, found 9 handcount
Test#469 Expected 11 handcount, found 10 handcount
Test#470 Expected 4 handcount, found 3 handcount
Test#471 Expected 4 handcount, found 3 handcount
Test#472 Expected 10 handcount, found 9 handcount
Test#473 Expected 8 handcount, found 7 handcount
Test#474 Expected 7 handcount, found 6 handcount
Test#475 Expected 333 handcount, found 332 handcount
Test#476 Expected 10 handcount, found 9 handcount
Test#477 Expected 4 handcount, found 3 handcount
Test#478 Expected 163 handcount, found 162 handcount
Test#479 Expected 126 handcount, found 125 handcount
Test#480 Expected 326 handcount, found 325 handcount
Test#481 Expected 12 handcount, found 11 handcount
Test#482 Expected 9 handcount, found 8 handcount
Test#483 Expected 10 handcount, found 9 handcount
Test#484 Expected 11 handcount, found 10 handcount
Test#485 Expected 4 handcount, found 3 handcount
Test#486 Expected 4 handcount, found 3 handcount
Test#487 Expected 10 handcount, found 9 handcount
Test#488 Expected 8 handcount, found 7 handcount
Test#489 Expected 7 handcount, found 6 handcount
Test#490 Expected 333 handcount, found 332 handcount
Test#491 Expected 10 handcount, found 9 handcount
Test#492 Expected 4 handcount, found 3 handcount
Test#493 Expected 163 handcount, found 162 handcount
Test#494 Expected 126 handcount, found 125 handcount
Test#495 Expected 326 handcount, found 325 handcount
Test#496 Expected 12 handcount, found 11 handcount
Test#497 Expected 9 handcount, found 8 handcount
Test#498 Expected 10 handcount, found 9 handcount
Test#499 Expected 11 handcount, found 10 handcount
Test#500 Expected 4 handcount, found 3 handcount
Test#501 Expected 4 handcount, found 3 handcount
Test#502 Expected 10 handcount, found 9 handcount
Test#503 Expected 8 handcount, found 7 handcount
Test#504 Expected 7 handcount, found 6 handcount
Test#505 Expected 333 handcount, found 332 handcount
Test#506 Expected 10 handcount, found 9 handcount
Test#507 Expected 4 handcount, found 3 handcount
Test#508 Expected 163 handcount, found 162 handcount
Test#509 Expected 126 handcount, found 125 handcount
Test#510 Expected 326 handcount, found 325 handcount
Test#511 Expected 12 handcount, found 11 handcount
Test#512 Expected 9 handcount, found 8 handcount
Test#513 Expected 10 handcount, found 9 handcount
Test#514 Expected 11 handcount, found 10 handcount
Test#515 Expected 4 handcount, found 3 handcount
Test#516 Expected 4 handcount, found 3 handcount
Test#517 Expected 10 handcount, found 9 handcount
Test#518 Expected 8 handcount, found 7 handcount
Test#519 Expected 7 handcount, found 6 handcount
Test#520 Expected 333 handcount, found 332 handcount
Test#521 Expected 10 handcount, found 9 handcount
Test#522 Expected 4 handcount, found 3 handcount
Test#523 Expected 163 handcount, found 162 handcount
Test#524 Expected 126 handcount, found 125 handcount
Test#525 Expected 326 handcount, found 325 handcount
Test#526 Expected 12 handcount, found 11 handcount
Test#527 Expected 9 handcount, found 8 handcount
Test#528 Expected 10 handcount, found 9 handcount
Test#529 Expected 11 handcount, found 10 handcount
Test#530 Expected 4 handcount, found 3 handcount
Test#531 Expected 4 handcount, found 3 handcount
Test#532 Expected 10 handcount, found 9 handcount
Test#533 Expected 8 handcount, found 7 handcount
Test#534 Expected 7 handcount, found 6 handcount
Test#535 Expected 333 handcount, found 332 handcount
Test#536 Expected 10 handcount, found 9 handcount
Test#537 Expected 4 handcount, found 3 handcount
Test#538 Expected 163 handcount, found 162 handcount
Test#539 Expected 126 handcount, found 125 handcount
Test#540 Expected 326 handcount, found 325 handcount
Test#541 Expected 12 handcount, found 11 handcount
Test#542 Expected 9 handcount, found 8 handcount
Test#543 Expected 10 handcount, found 9 handcount
Test#544 Expected 11 handcount, found 10 handcount
Test#545 Expected 4 handcount, found 3 handcount
Test#546 Expected 4 handcount, found 3 handcount
Test#547 Expected 10 handcount, found 9 handcount
Test#548 Expected 8 handcount, found 7 handcount
Test#549 Expected 7 handcount, found 6 handcount
Test#550 Expected 333 handcount, found 332 handcount
Test#551 Expected 10 handcount, found 9 handcount
Test#552 Expected 4 handcount, found 3 handcount
Test#553 Expected 163 handcount, found 162 handcount
Test#554 Expected 126 handcount, found 125 handcount
Test#555 Expected 326 handcount, found 325 handcount
Test#556 Expected 12 handcount, found 11 handcount
Test#557 Expected 9 handcount, found 8 handcount
Test#558 Expected 10 handcount, found 9 handcount
Test#559 Expected 11 handcount, found 10 handcount
Test#560 Expected 4 handcount, found 3 handcount
Test#561 Expected 4 handcount, found 3 handcount
Test#562 Expected 10 handcount, found 9 handcount
Test#563 Expected 8 handcount, found 7 handcount
Test#564 Expected 7 handcount, found 6 handcount
Test#565 Expected 333 handcount, found 332 handcount
Test#566 Expected 10 handcount, found 9 handcount
Test#567 Expected 4 handcount, found 3 handcount
Test#568 Expected 163 handcount, found 162 handcount
Test#569 Expected 126 handcount, found 125 handcount
Test#570 Expected 326 handcount, found 325 handcount
Test#571 Expected 12 handcount, found 11 handcount
Test#572 Expected 9 handcount, found 8 handcount
Test#573 Expected 10 handcount, found 9 handcount
Test#574 Expected 11 handcount, found 10 handcount
Test#575 Expected 4 handcount, found 3 handcount
Test#576 Expected 4 handcount, found 3 handcount
Test#577 Expected 10 handcount, found 9 handcount
Test#578 Expected 8 handcount, found 7 handcount
Test#579 Expected 7 handcount, found 6 handcount
Test#580 Expected 333 handcount, found 332 handcount
Test#581 Expected 10 handcount, found 9 handcount
Test#582 Expected 4 handcount, found 3 handcount
Test#583 Expected 163 handcount, found 162 handcount
Test#584 Expected 126 handcount, found 125 handcount
Test#585 Expected 326 handcount, found 325 handcount
Test#586 Expected 12 handcount, found 11 handcount
Test#587 Expected 9 handcount, found 8 handcount
Test#588 Expected 10 handcount, found 9 handcount
Test#589 Expected 11 handcount, found 10 handcount
Test#590 Expected 4 handcount, found 3 handcount
Test#591 Expected 4 handcount, found 3 handcount
Test#592 Expected 10 handcount, found 9 handcount
Test#593 Expected 8 handcount, found 7 handcount
Test#594 Expected 7 handcount, found 6 handcount
Test#595 Expected 333 handcount, found 332 handcount
Test#596 Expected 10 handcount, found 9 handcount
Test#597 Expected 4 handcount, found 3 handcount
Test#598 Expected 163 handcount, found 162 handcount
Test#599 Expected 126 handcount, found 125 handcount
Test#600 Expected 326 handcount, found 325 handcount
Test#601 Expected 12 handcount, found 11 handcount
Test#602 Expected 9 handcount, found 8 handcount
Test#603 Expected 10 handcount, found 9 handcount
Test#604 Expected 11 handcount, found 10 handcount
